"ID";"Type";"Name";"Documentation"
"9cd34305-d5eb-4b22-a2d1-384235757586";"ApplicationComponent";"Custom Data Access";""
"855";"ApplicationComponent";"Customer Data  Access";""
"1399";"ApplicationComponent";"Financial Application";""
"843";"ApplicationComponent";"Home & Away Policy Administration";""
"861";"ApplicationComponent";"Policy Data Management";""
"849";"ApplicationComponent";"Risk Assessment";""
"1800";"ApplicationComponent";"Web portal";""
"897";"ApplicationFunction";"Calculate Premium";""
"891";"ApplicationFunction";"Calculate Risk";""
"903";"ApplicationFunction";"Create Policy";""
"885";"ApplicationFunction";"Policy Creation";""
"909";"ApplicationFunction";"Store Policy";""
"1407";"ApplicationService";"CIS";"Customer Information Service"
"1414";"ApplicationService";"Claim InfoServ";""
"935";"ApplicationService";"Policy Creation Service";""
"837";"DataObject";"Customer File Data";""
"fe8fc006-6bd9-4113-a197-01666bf5e213";"DataObject";"Customer File Data V2";""
"839";"DataObject";"Damage Claim Data";""
"838";"DataObject";"Insurance Policy Data";""
"946";"DataObject";"Insurance Request Data";""
"1095";"CommunicationNetwork";"BIBIT";""
"1089";"CommunicationNetwork";"LAN";""
"1101";"CommunicationNetwork";"LAN";""
"1071";"Device";"Admin Server";""
"1882";"Device";"BIBIT Server";""
"1065";"Device";"NAS File Server";""
"1053";"Device";"Unix Server";""
"1059";"Device";"Unix Server";""
"998";"Node";"Firewall";""
"1004";"Node";"Firewall";""
"986";"Node";"Mainframe";""
"992";"Node";"Unix Server Farm";""
"1022";"SystemSoftware";"CICS";""
"1016";"SystemSoftware";"DBMS";""
"1870";"SystemSoftware";"Financial Software";""
"1010";"SystemSoftware";"Message Queing";""
"1455";"TechnologyService";"Claim Files Service";""
"1462";"TechnologyService";"Customer File Service";""
"1128";"TechnologyService";"Database Service";""
"1110";"TechnologyService";"File Service";""
"1116";"TechnologyService";"Network Service";""
"f5674126";"Principle";"Client Satisfaction Goal";""
"af0e8c76";"Principle";"Component Principle";""
"b56d54a6";"Principle";"Costs Goal";""
"3db08b5c";"Principle";"Infrastructure Principle";""
"712d4eec";"Principle";"Licence Principle";""
"3764dcef";"Principle";"Occupancy Principle";""
"3938617c";"Principle";"One Stop Principle";""
"66a2171b";"Principle";"TCO Goal";""
"67316f1f";"Principle";"Treatment Time Principle";""
"1250";"Value";"Be Insured";""
"c9a6e15f-8e7d-4496-8c2c-96309edb5448";"Plateau";"AsIs";""
"586c1d8d-e7cd-4579-b21c-c0e86e901cc7";"Plateau";"ToBe";""
